Question,A,B,C,D,E
" 9. Выберите производное слово от слова ""help"": ",A) Imhelp.,B) Helpy.,C) Helpless.,D) Helpiation.,E) Helply. 
10. Выберите верное местоимение. At … moment I was at home. ,A) Its.,B) Those.,C) That.,D) These.,E) It. 
11. Выберите правильную  форму глагола “to be”: ... you a teacher? ,A) Is.,B) Be.,C) Been.,D) Am.,E) Are. 
12. Выберите правильный ответ: Are you going to invite her to the party? ,"A) Yes, I shall.","B) Yes, it is.","C) Yes, there is.","D) Yes, I am.","E) No, I shan’t"
13. Найдите правильный вариант перевода на русский язык:  It’s no use asking him about it.  ,A) Раньше здесь был дом.,B) Вы скоро привыкнете к этому. ,C) Я часто его встречал.,D) Бесполезно его спрашивать об этом.,E) Он обычно приходил к нам. 
14. Определите функцию инфинитива в следующем предложении: Arman was the first to recover.  ,A) дополнение,B) подлежащее,C) определение,D) сказуемое,E) обстоятельство
"15. Выберите фразовый глагол со значением ""мыть посуду"": ",A) Wash out,B) Wash for.,C) Wash.,D) Wash in.,E) Wash up. 
16. Дополните предложение:  He used his hands and feet to ... the  mountains.  ,A) climb,B) fly,C) borrow,D) unite,E) trade
17. Выразите одним словом: A person who travels by plane or by ship is a ... ,A) customer.,B) passenger.,C) businessman.,D) stranger.,E) seller. 
"18. Образуйте прилагательное с противоположным значением от слова ""definite"":  ",A) Redefinite. ,B) Imdefinite. ,C) Ildefinite. ,D) Indefinite. ,E) Undefinite. 
19. Выберите правильный вариант местоимения: There is … in the bag. It’s empty. ,A) No.,B) Nothing.,C) Any.,D) Anyone.,E) Somewhere. 
20. Найдите правильный вариант глагола:   Peter just … me a new job. ,A) offers,B) has offered,C) have offered,D) was offer,E) was offered
21. Выберите правильно построенное предложение: ,A) Aliya said that she would tries to come in time.,B) Aliya said that she should tries to come in time.,C) Aliya said that she should try to come in time.,D) Aliya said that she would try to come in time.,E) Aliya said that she shouldn’t try to come in time. 
22. Выберите правильный вопрос: You shouldn’t close the window  ,A) Will I close the window?,B) Could I close the window?,C) Need I close the window?,D) Should I close the window?,E) May I close the window? 
23. Вставьте в предложение глагол в соответствующей форме: He is very good at (learn) languages.  ,A) to learn,B) learning,C) being learnt,D) learn,E) have learnt
24. Выберите предложение с Past Participle: ,A) Seeing that he was late he took the taxi.,B) It was snowing the whole day.,C) The house built in 1789 was the oldest building in the town.,D) The man standing at the door helped the old lady.,E) He is reading the book at this moment. 
25. Выберите правильный вариант вопросительного местоимения: … of you speaks English? ,A) What.,B) Whose.,C) Whom.,D) When.,E) Which. 
26. Глагол to do употреблен в качестве вспомогательного в предложении: ,A) What are you doing?,B) He never does his morning exercises.,C) Did you know how to drive a car?,D) Who did the shoppings in your family?,E) I’ve done all you have asked me to do. 
27. Найдите правильный вариант глагола. He… when he fell over and broke his leg. ,A) was skiing ,B) has been skiing,C) were skiing,D) skied,E) skies
28. Найдите правильный вариант глагола. There must be a mistake: the hotel . . . by my wife. ,A) will pay,B) are being paid,C) have been paid,D) was paid,E) is paying
"29. Прочитайте текст и выполните задание после текста: One day my cousin George and I decided to visit our Granny in London. After lunch we all three decided to sail down the Thames to have a look at the old ships. But suddenly it started raining, so we had to change our plans. We decided to visit Madame Tussaud’s instead. George hadn’t been there before. It was great fun seeing all the wax figures. There were some new ones I hadn’t seen before. After an hour Granny felt a little tired and wanted to sit down and rest for a moment. George and I went to look at all the murderers in the cellar. We promised to come back in half an hour.     When we came back we saw two American tourists standing in front of Granny and taking a photo of hers. We heard one of them say, “She is sure to look like a real woman!” You should have seen their faces a moment later when Granny opened her eyes!  Выберите заголовок к тексту: ",A) Good relatives.,B) A clever Granny.,C) English museums.,D) George and his Granny.,E) A case in the museum. 
30. Дополните предложение.  In the House of Commons the members sit … . ,A) on four sides of the hall,B) on two sides and in the middle of the hall,C) on three sides and in the corner of the hall,D) on three sides of the hall,E) on two sides of the hall
